title,company_name,url,remote,first_seen_at,last_seen_at,lang,juniority_score,source,external_ids_0,external_ids_1,external_ids_2,external_ids_3,external_ids_4,external_ids_5,external_ids_6,external_ids_7,external_ids_8,external_ids_9,locations_0_name,locations_1_name,locations_2_name,locations_3_name,locations_4_name,locations_5_name,locations_6_name,locations_7_name,locations_8_name,locations_9_name,locations_10_name,locations_11_name,locations_12_name,locations_13_name,locations_14_name,locations_15_name,locations_16_name,locations_17_name,locations_18_name,locations_19_name,locations_0_region,locations_1_region,locations_2_region,locations_3_region,locations_4_region,locations_5_region,locations_6_region,locations_7_region,locations_8_region,locations_9_region,locations_10_region,locations_11_region,locations_12_region,locations_13_region,locations_14_region,locations_15_region,locations_16_region,locations_17_region,locations_18_region,locations_19_region,employment_types_0,employment_types_1,employment_types_2,employment_types_3,employment_types_4,employment_types_5,employment_types_6,employment_types_7,employment_types_8,employment_types_9
Bug Hunter / SW Tester (35 - 55.000 Kč),Jobs Contact,https://cz.linkedin.com/jobs/view/bug-hunter-sw-tester-35-55-000-k%C4%8D-at-jobs-contact-person%C3%A1ln%C3%AD-agentura-2795737368,False,2021-11-13,2021-11-13,cs,12,linkedin,linkedin#2795737368,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Nadšenec do automotive - tester (35-43.000 kč),"Advantage Consulting, s.r.o.",https://cz.linkedin.com/jobs/view/nad%C5%A1enec-do-automotive-tester-35-43-000-k%C4%8D-at-advantage-consulting-s-r-o-2795728236,False,2021-11-13,2021-11-13,cs,10,linkedin,linkedin#2795728236,,,,,,,,,,Mladá Boleslav,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Bug Hunter / SW Tester (35 - 55.000 Kč),Jobs Contact,https://cz.linkedin.com/jobs/view/bug-hunter-sw-tester-35-55-000-k%C4%8D-at-jobs-contact-person%C3%A1ln%C3%AD-agentura-2795735704,False,2021-11-13,2021-11-13,cs,12,linkedin,linkedin#2795735704,,,,,,,,,,Strakonice,,,,,,,,,,,,,,,,,,,,České Budějovice,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Bug Hunter / SW Tester (35 - 55.000 Kč),Jobs Contact,https://cz.linkedin.com/jobs/view/bug-hunter-sw-tester-35-55-000-k%C4%8D-at-jobs-contact-person%C3%A1ln%C3%AD-agentura-2795738196,False,2021-11-13,2021-11-13,cs,12,linkedin,linkedin#2795738196,,,,,,,,,,Písek,,,,,,,,,,,,,,,,,,,,České Budějovice,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
"App/Web Support (SQL, Cold Fusion, HTML)",AT&T,https://junior.guru/jobs/f09b69dcd7ab88b3ae912d47087893fdb3db7262974c34d5cd0750b9/,True,2021-11-12,2021-11-13,en,0,juniorguru,juniorguru#f09b69dcd7ab88b3ae912d47087893fdb3db7262974c34d5cd0750b9,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Backend developer junior,Hypo na míru s.r.o.,https://www.startupjobs.cz/nabidka/34074/backend-developer-junior,True,2021-11-12,2021-11-13,cs,6,startupjobs,startupjobs#34074,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,INTERNSHIP,PART_TIME,,,,,,,
Rozjeď kariéru analytika/konzultanta řešení v BOOTIQu – vše tě naučíme (pozice pro juniory),BOOTIQ s.r.o.,https://www.startupjobs.cz/nabidka/34535/rozjed-karieru-analytika-konzultanta-reseni-v-bootiqu-–-vse-te-naucime-pozice-pro-juniory,False,2021-11-11,2021-11-13,cs,30,startupjobs,startupjobs#34535,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Java Developer,CoolPeople,https://cz.linkedin.com/jobs/view/junior-java-developer-at-coolpeople-2790357819,False,2021-11-11,2021-11-13,cs,2,linkedin,linkedin#2790357819,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
"Programátor/ka PHP, MYSQL",Webdevel s.r.o.,https://cz.linkedin.com/jobs/view/program%C3%A1tor-ka-php-mysql-at-webdevel-s-r-o-2795741525,False,2021-11-11,2021-11-13,cs,2,linkedin,linkedin#2795741525,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior .NET Vývojář,Grafton,https://cz.linkedin.com/jobs/view/junior-net-v%C3%BDvoj%C3%A1%C5%99-at-grafton-2795722876,False,2021-11-11,2021-11-13,cs,2,linkedin,linkedin#2795722876,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
PHP Developer,URBITECH s.r.o.,https://cz.linkedin.com/jobs/view/php-developer-at-urbitech-s-r-o-2788851729,False,2021-11-10,2021-11-13,cs,6,linkedin,linkedin#2788851729,,,,,,,,,,Uherské Hradiště,,,,,,,,,,,,,,,,,,,,Zlín,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Juniorní projektový analytik v Leadspickeru!,Leadspicker.com,https://www.startupjobs.cz/nabidka/34841/juniorni-projektovy-analytik-v-leadspickeru,True,2021-11-10,2021-11-13,cs,8,startupjobs,startupjobs#34841,,,,,,,,,,Olomouc,Brno,Praha,,,,,,,,,,,,,,,,,,Olomouc,Brno,Praha,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Developer,CoolPeople,https://cz.linkedin.com/jobs/view/junior-developer-at-coolpeople-2789800673,False,2021-11-10,2021-11-13,cs,22,linkedin,linkedin#2789800673,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
C/C++ Vývojář grafického UI (35.000-70.000 Kč),Jobs Contact,https://cz.linkedin.com/jobs/view/c-c%2B%2B-v%C3%BDvoj%C3%A1%C5%99-grafick%C3%A9ho-ui-35-000-70-000-k%C4%8D-at-jobs-contact-person%C3%A1ln%C3%AD-agentura-2791195766,False,2021-11-09,2021-11-13,cs,4,linkedin,linkedin#2791195766,,,,,,,,,,Kolín,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Business associate,ootolno s.r.o.,https://www.startupjobs.cz/nabidka/34774/business-associate,True,2021-11-09,2021-11-13,cs,2,startupjobs,startupjobs#34774,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,PART_TIME,,,,,,,,,
C++ programátor|vhodné také pro absolventy,Grafton,https://cz.linkedin.com/jobs/view/c%2B%2B-program%C3%A1tor-vhodn%C3%A9-tak%C3%A9-pro-absolventy-at-grafton-2792259452,False,2021-11-09,2021-11-13,cs,2,linkedin,linkedin#2792259452,,,,,,,,,,Vsetín,,,,,,,,,,,,,,,,,,,,Zlín,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Hledá se junior/medior .NET Vývojár!,APSAZ Consulting a.s.,https://cz.linkedin.com/jobs/view/hled%C3%A1-se-junior-medior-net-v%C3%BDvoj%C3%A1r%21-at-apsaz-consulting-a-s-2788820777,False,2021-11-09,2021-11-13,cs,2,linkedin,linkedin#2788820777,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Rozjeď to s námi - NOC / SOC ServiceDesk agent (i junior) v Anovis.com,Anovis CZ s.r.o.,https://www.startupjobs.cz/nabidka/18995/rozjed-to-s-nami-noc-soc-servicedesk-agent-i-junior-v-anovis-com,False,2021-11-08,2021-11-13,cs,10,startupjobs,startupjobs#18995,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Testerpro Task Mining start up,UltimateSuite,https://www.startupjobs.cz/nabidka/34741/tester-pro-task-mining-start-up,True,2021-11-08,2021-11-13,cs,2,startupjobs,startupjobs#34741,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
Junior Software Engineer/ka in QA,profiq,https://cz.linkedin.com/jobs/view/junior-software-engineer-ka-in-qa-at-profiq-2787088689,False,2021-11-08,2021-11-13,cs,2,linkedin,linkedin#2787088689,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Intern - Frontend SW Developer - ILC Healthcare – Brno,Honeywell,https://cz.linkedin.com/jobs/view/intern-frontend-sw-developer-ilc-healthcare-%E2%80%93-brno-at-honeywell-2790904676,False,2021-11-06,2021-11-13,en,2,linkedin,linkedin#2790904676,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Databázový vývojář (i pro juniory),LOGEX Solution Center s.r.o.,https://www.startupjobs.cz/nabidka/34739/databazovy-vyvojar-i-pro-juniory,False,2021-11-05,2021-11-13,cs,8,startupjobs,startupjobs#34739,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Intern - Frontend SW Developer - ILC Healthcare – Brno,Honeywell,https://cz.linkedin.com/jobs/view/intern-frontend-sw-developer-ilc-healthcare-%E2%80%93-brno-at-honeywell-2783807299,False,2021-11-05,2021-11-13,en,2,linkedin,linkedin#2783807299,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,CONTRACT,,,,,,,,,
Junior Python Developer,BuiltMind,https://www.startupjobs.cz/nabidka/34706/junior-python-developer,True,2021-11-04,2021-11-13,cs,2,startupjobs,startupjobs#34706,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,INTERNSHIP,,,,,,,,
Service Desk Support,SoftwareONE Czech Republic s.r.o.,https://www.startupjobs.cz/nabidka/25117/service-desk-support,False,2021-11-03,2021-11-13,cs,2,startupjobs,startupjobs#25117,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior procesní analytik,eppTec,https://www.startupjobs.cz/nabidka/34673/junior-procesni-analytik,False,2021-11-03,2021-11-13,cs,2,startupjobs,startupjobs#34673,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior software engineers: work from home for a cutting-edge UK software startup,Axsy,https://stackoverflow.com/jobs/525739/junior-software-engineers-work-from-home-for-a-axsy,False,2021-11-01,2021-11-13,en,8,stackoverflow,stackoverflow#525739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
E-commerce (PHP/Symfony) developer/ka - Junior,Shopsys,https://www.startupjobs.cz/nabidka/27323/e-commerce-php-symfony-developer-ka-junior,True,2021-11-01,2021-11-13,cs,4,startupjobs,startupjobs#27323,,,,,,,,,,Žilina,Pardubice,Ostrava,,,,,,,,,,,,,,,,,,Slovensko,Pardubice,Ostrava,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
"Application Developer – JavaScript, Python",AT&T,https://junior.guru/jobs/b14a3b2248aaf38219d19f10ada55e124788328f2868a1a24e019175/,True,2021-10-30,2021-11-13,en,-2,juniorguru,juniorguru#b14a3b2248aaf38219d19f10ada55e124788328f2868a1a24e019175,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
"Application Developer – JavaScript, Python - Junior",AT&T,https://junior.guru/jobs/04735ea16242e5f9f769e54213477599939f0606d6fc6e5c3e60c362/,True,2021-10-30,2021-11-13,en,-2,juniorguru,juniorguru#04735ea16242e5f9f769e54213477599939f0606d6fc6e5c3e60c362,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior DevOps Engineer - možný i part-time,Favorlogic s.r.o.,https://www.startupjobs.cz/nabidka/31341/junior-devops-engineer-mozny-i-part-time,False,2021-10-29,2021-11-13,cs,12,startupjobs,startupjobs#31341,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
Koordinátor vývoje (junior),MODRÝ ANDĚL,https://www.startupjobs.cz/nabidka/34571/koordinator-vyvoje-junior,False,2021-10-28,2021-11-13,cs,8,startupjobs,startupjobs#34571,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
PHP programátor,Net Magnet s.r.o.,https://cz.linkedin.com/jobs/view/php-program%C3%A1tor-at-net-magnet-s-r-o-2780948920,False,2021-10-28,2021-11-13,cs,14,linkedin,linkedin#2780948920,,,,,,,,,,Český Krumlov,,,,,,,,,,,,,,,,,,,,České Budějovice,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
"Programátor (ka) v Nette, vhodné pro juniory",MioWeb s.r.o.,https://www.startupjobs.cz/nabidka/29956/programator-ka-v-nette-vhodne-pro-juniory,True,2021-10-27,2021-11-13,cs,2,startupjobs,startupjobs#29956,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Systémový programátor (Embedded Linux),Braiins – Slush Pool,https://www.startupjobs.cz/nabidka/34527/junior-systemovy-programator-embedded-linux,False,2021-10-27,2021-11-13,cs,12,startupjobs,startupjobs#34527,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Full-stack Developer,Qerko,https://cz.linkedin.com/jobs/view/full-stack-developer-at-qerko-2773111731,False,2021-10-26,2021-11-13,cs,4,linkedin,linkedin#2773111731,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,CONTRACT,,,,,,,,,
IT HW technik,Nethost s.r.o.,https://www.startupjobs.cz/nabidka/34453/it-hw-technik,False,2021-10-25,2021-11-13,cs,2,startupjobs,startupjobs#34453,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Vývojář webových aplikací (SaaS),NoStress Commerce s.r.o.,https://cz.linkedin.com/jobs/view/v%C3%BDvoj%C3%A1%C5%99-webov%C3%BDch-aplikac%C3%AD-saas-at-nostress-commerce-s-r-o-2776421911,False,2021-10-25,2021-11-13,cs,4,linkedin,linkedin#2776421911,,,,,,,,,,Ústí nad Orlicí,,,,,,,,,,,,,,,,,,,,Pardubice,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Programmer,"Dataobjects, s.r.o.",https://cz.linkedin.com/jobs/view/junior-programmer-at-dataobjects-s-r-o-2771937227,False,2021-10-25,2021-11-13,en,2,linkedin,linkedin#2771937227,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Backend Developer,DATA-NORMS s.r.o.,https://cz.linkedin.com/jobs/view/backend-developer-at-data-norms-s-r-o-2776415464,False,2021-10-25,2021-11-13,cs,2,linkedin,linkedin#2776415464,,,,,,,,,,Jindřichův Hradec,,,,,,,,,,,,,,,,,,,,České Budějovice,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Kubernetes DevOps specialista,ProRocketeers,https://www.startupjobs.cz/nabidka/34435/kubernetes-devops-specialista,False,2021-10-24,2021-11-13,cs,2,startupjobs,startupjobs#34435,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Back-End Developer (C#),PwC Czech Republic,https://cz.linkedin.com/jobs/view/junior-back-end-developer-c%23-at-pwc-%C4%8Desk%C3%A1-republika-2770237527,False,2021-10-23,2021-11-13,en,2,linkedin,linkedin#2770237527,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Front-End Web Developer (Angular),PwC Czech Republic,https://cz.linkedin.com/jobs/view/junior-front-end-web-developer-angular-at-pwc-%C4%8Desk%C3%A1-republika-2770239090,False,2021-10-23,2021-11-13,en,6,linkedin,linkedin#2770239090,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Intern - Frontend SW Developer - ILC Healthcare – Brno,Honeywell,https://cz.linkedin.com/jobs/view/intern-frontend-sw-developer-ilc-healthcare-%E2%80%93-brno-at-honeywell-2790907070,False,2021-10-23,2021-11-13,en,2,linkedin,linkedin#2790907070,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior IT Security Specialist,"MyCom Solutions, s.r.o.",https://www.startupjobs.cz/nabidka/33931/junior-it-security-specialist,False,2021-10-21,2021-11-13,cs,2,startupjobs,startupjobs#33931,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior .NET developer,Meta IT s.r.o.,https://www.startupjobs.cz/nabidka/34364/junior-net-developer,False,2021-10-21,2021-11-13,cs,18,startupjobs,startupjobs#34364,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
